"id";"location";"hotel_image";"hotel_name";"price";"hotel_type"
56;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/14/78/1478285_v5.jpeg";"Calangute Resort";2457;"Hotel"
57;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/19/54/1954711_v2.jpeg";"Grand Hyatt Goa";16862;"Hotel"
58;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/68/42/684276_v7.jpeg";"Bambolim Beach Resort";5337;"Hotel"
59;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/68/43/684371_v3.jpeg";"Williams Beach Retreat";1008;"Hotel"
60;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/89/74/897445_v10.jpeg";"Estrela Do Mar Beach Resort - A Beach Property";3705;"Hotel"
61;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/32/22/322206_v3.jpeg";"Hotel Caravela Beach Resort";13569;"Hotel"
62;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/51/37/5137440_v1.jpeg";"ibis Styles Goa Calangute";5330;"Hotel"
63;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/39/96/3996444_v5.jpeg";"Swati Hotel, Arambol, Goa";692;"Hotel"
64;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/17/66/176677_v3.jpeg";"Vivanta by Taj Holiday Village";15045;"Hotel"
65;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/16/91/16918722.jpeg";"Treebo Trend Sunheads Panaji";1450;"Hotel"
66;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/19/88/1988405_v1.jpeg";"Casa Fiesta";954;"Hotel"
67;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/31/45/3145826_v2.jpeg";"Leela Cottages";4725;"Hotel"
68;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/10/34/1034408_v1.jpeg";"Margao Residency";823;"Hotel"
69;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/59/41/5941454.jpeg";"Cupids Heaven Beach Resort";540;"Hotel"
70;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/12/36/1236122_v6.jpeg";"Vivanta Goa, Panaji";9027;"Hotel"
71;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/13/04/130434_v2.jpeg";"Holiday Inn Resort Goa";9205;"Hotel"
72;"goa";"https://imgcy.trivago.com/c_lfill,d_dummy.jpeg,e_sharpen:60,f_auto,h_225,q_auto,w_225/itemimages/24/38/2438236_v1.jpeg";"Silver Sands Holiday Village";3656;"Hotel"
